spp_name,ITD_cm,ITD_mm
"Apis mellifera Linnaeus, 1758",0.26,2.6
"Centris (Trachina) fuscata Lepeletier, 1841",0.5,5.02
"Frieseomelitta doederleini (Friese, 1900)",0.14,1.36
"Frieseomelitta languida Moure, 1990",0.13,1.32
"Frieseomelitta varia (Lepeletier, 1836)",0.39,1.385
"Oxytrigona tataira (Smith, 1863)",0.14,1.38
"Plebeia wittmanni Moure & Camargo, 1989",0.1,0.96
"Tetragonisca angustula (Latreille, 1811)",0.1,1.01
"Trigona spinipes (Fabricius, 1793)",0.17,1.66
"Xylocopa (Neoxylocopa) grisescens Lepeletier, 1841",0.77,7.68
"Xylocopa (Neoxylocopa) suspecta Moure & Camargo, 1988",0.67,6.68
"Centris (Centris) nitens Lepeletier, 1841",0.46,4.6
"Exomalopsis (Exomalopsis) analis Spinola, 1853",0.18,1.8
"Exomalopsis (Exomalopsis) auropilosa Spinola, 1853",0.17,1.7
"Geotrigona mombuca (Smith, 1863)",0.16,1.6
"Melipona (Melipona) quadrifasciata quadrifasciata Lepeletier, 1836",0.3,3
"Paratrigona lineata (Lepeletier, 1836)",0.11,1.1
"Plebeia droryana (Friese, 1900)",0.11,1.1
"Tetragona clavipes (Fabricius, 1804)",0.12,1.2
"Trigona hyalinata (Lepeletier, 1836)",0.19,1.9
"Trigona recursa Smith, 1863",0.13,1.3
