"orange_pollin","fordist_km_GrMfd","ITD_mm"
"Apis mellifera Linnaeus, 1758",1.584,2.6
"Centris (Trachina) fuscata Lepeletier, 1841",7.257,5.02
"Frieseomelitta doederleini (Friese, 1900)",0.354,1.36
"Frieseomelitta languida Moure, 1990",0.33,1.32
"Frieseomelitta varia (Lepeletier, 1836)",0.369,1.385
"Oxytrigona tataira (Smith, 1863)",0.366,1.38
"Plebeia wittmanni Moure & Camargo, 1989",0.158,0.96
"Tetragonisca angustula (Latreille, 1811)",0.178,1.01
"Trigona spinipes (Fabricius, 1793)",0.561,1.66
"Xylocopa (Neoxylocopa) grisescens Lepeletier, 1841",19.402,7.68
"Xylocopa (Neoxylocopa) suspecta Moure & Camargo, 1988",14.051,6.68
"Centris (Centris) nitens Lepeletier, 1841",5.929,4.6
"Exomalopsis (Exomalopsis) analis Spinola, 1853",0.677,1.8
"Exomalopsis (Exomalopsis) auropilosa Spinola, 1853",0.593,1.7
"Geotrigona mombuca (Smith, 1863)",0.515,1.6
"Melipona (Melipona) quadrifasciata quadrifasciata Lepeletier, 1836",2.206,3
"Paratrigona lineata (Lepeletier, 1836)",0.217,1.1
"Plebeia droryana (Friese, 1900)",0.217,1.1
"Tetragona clavipes (Fabricius, 1804)",0.265,1.2
"Trigona hyalinata (Lepeletier, 1836)",0.767,1.9
"Trigona recursa Smith, 1863",0.319,1.3
